Year,Discharge,Rainfall,SSC,SSC_Q05,SSC_Q25,SSC_Q75,SSC_Q95,Sediment_Yield,Sediment_Yield_Q05,Sediment_Yield_Q25,Sediment_Yield_Q75,Sediment_Yield_Q95,Days_in_Year,Annual_Rainfall_mm,Annual_Sediment_Yield_tons_ha,Annual_Sediment_Yield_Q05,Annual_Sediment_Yield_Q25,Annual_Sediment_Yield_Q75,Annual_Sediment_Yield_Q95
1990,41.80835890410959,1791.1,0.9330136986301371,0.5232465753424658,0.7434246575342467,1.2304112695306433,1.733772099565448,19.065563506730772,12.010788389423078,15.876257733173079,22.581795105170723,31.196893587749727,365,1791.1,19.065563506730772,12.010788389423078,15.876257733173079,22.581795105170723,31.196893587749727
1991,59.38782191780822,1763.2,1.1885652548477015,0.6423835616438356,0.9159618820726624,1.6352172491529897,2.308505579579697,33.679870122730975,19.637575862019233,26.181598338775085,43.883179320924135,59.330563185961566,365,1763.2,33.679870122730975,19.637575862019233,26.181598338775085,43.883179320924135,59.330563185961566
1992,53.84177049180328,1748.0,1.1467344259768186,0.5725819672131147,0.875207887859349,1.5228299665258735,2.241352018810306,26.18801855682464,14.571036122019231,20.60808858417642,32.46541139124447,46.52761417753559,366,1748.0,26.18801855682464,14.571036122019231,20.60808858417642,32.46541139124447,46.52761417753559
1993,62.4801095890411,1793.8,1.2802556968410386,0.7012602739726027,1.019622771085802,1.6738096359252055,2.277381995218232,33.871337962508576,19.797184095576924,27.4885504347937,42.357024501387755,55.73158557831258,365,1793.8,33.871337962508576,19.797184095576924,27.4885504347937,42.357024501387755,55.73158557831258
1994,47.475153424657535,1650.6,1.2249367863172906,0.607013698630137,0.8995305268012318,1.6138139340292146,2.601778572009214,28.774246294919145,14.298375503076924,20.681940609050855,35.817219682989794,58.29731624481477,365,1650.6,28.774246294919145,14.298375503076924,20.681940609050855,35.817219682989794,58.29731624481477
1995,44.548909589041095,1756.2,0.9609589041095891,0.5634931506849316,0.7920547945205481,1.2132876712328768,1.8638631041056193,20.353551282692308,13.205147624134616,17.257165425,23.264094362019232,35.397607633309384,365,1756.2,20.353551282692308,13.205147624134616,17.257165425,23.264094362019232,35.397607633309384
1996,74.41981693989071,1857.6,1.468639664044938,0.701775956284153,1.0922744507639122,1.9132637412108133,2.8002021635390557,40.52677485373535,21.46393040019231,30.925460757927787,51.144815339915816,73.29493330258902,366,1857.6,40.52677485373535,21.46393040019231,30.925460757927787,51.144815339915816,73.29493330258902
1997,57.11760821917808,1824.2,1.2507784774143744,0.6256712328767123,0.9501607492311994,1.6010145740812118,2.2797350687624522,30.08383453799753,16.096065291346154,23.195368761499218,36.582120405811615,50.13741181171834,365,1824.2,30.08383453799753,16.096065291346154,23.195368761499218,36.582120405811615,50.13741181171834
1998,57.639635616438355,1788.3,1.227716086584579,0.6450821917808219,0.9445920190589636,1.730192933329693,2.5301235349381304,29.86713459725073,16.55812254548077,23.0818635673495,40.84333579115781,58.355746007188216,365,1788.3,29.86713459725073,16.55812254548077,23.0818635673495,40.84333579115781,58.355746007188216
1999,59.074419178082195,1900.5,1.2714819521846525,0.6541095890410958,0.9696505451495666,1.6450544161156169,2.44223644279235,31.39309990785349,16.882931314903846,23.955515340541602,38.68823946413858,56.852506476864114,365,1900.5,31.39309990785349,16.882931314903846,23.955515340541602,38.68823946413858,56.852506476864114
2000,60.46615573770492,1875.7,1.2801644781967196,0.6337431693989072,0.9647164603546338,1.687795331310826,2.4500070849295237,31.816341563715643,16.949042772403846,24.44865936437402,39.8748197787431,56.55984757408451,366,1875.7,31.816341563715643,16.949042772403846,24.44865936437402,39.8748197787431,56.55984757408451
2001,52.81221643835616,1681.7,1.0561643835616439,0.6196575342465753,0.85,1.4033289577086012,2.2561810600560475,24.67413295096154,15.957615436442309,20.632446666346155,30.718204514299785,51.58006107931304,365,1681.7,24.67413295096154,15.957615436442309,20.632446666346155,30.718204514299785,51.58006107931304
2002,42.27999726027397,1749.9,0.9386608890131395,0.5500958904109589,0.7584931506849316,1.299880659565561,1.8647271599202877,18.23543544489796,11.995009662115386,15.242962387500002,24.343827058579723,34.97566173300858,365,1749.9,18.23543544489796,11.995009662115386,15.242962387500002,24.343827058579723,34.97566173300858
2003,53.15296712328767,1722.6,1.1616539147326266,0.6393698630136987,0.8868324196861592,1.5643959086456147,2.246245656411942,30.689940560538336,17.794162189038463,23.4882317182543,38.70852985259332,55.14951146278723,365,1722.6,30.689940560538336,17.794162189038463,23.4882317182543,38.70852985259332,55.14951146278723
2004,46.68424590163935,1766.7,1.0199760231961637,0.5542349726775956,0.8112704918032787,1.4097497256792344,2.0996170053429726,21.881546369858714,13.032877024038463,18.055027549038464,28.572933270043556,42.31431782071815,366,1766.7,21.881546369858714,13.032877024038463,18.055027549038464,28.572933270043556,42.31431782071815
2005,41.29002191780822,1958.2,1.0136203758423779,0.5199041095890411,0.7681566408576533,1.3864815797672816,2.178781270714286,18.670267463982178,9.897012584134616,13.945753829347828,24.19653770484991,38.61729879539443,365,1958.2,18.670267463982178,9.897012584134616,13.945753829347828,24.19653770484991,38.61729879539443
2006,75.30825205479452,2193.6,1.3624903717365089,0.7122054794520547,1.0486301369863014,1.8663745035475305,2.88477144546348,34.75835199300183,20.467200012403847,28.08871326346154,46.06048325520386,72.52674786458005,365,2193.6,34.75835199300183,20.467200012403847,28.08871326346154,46.06048325520386,72.52674786458005
2007,78.86384473972602,1892.5,1.5211300052557801,0.7179726027397261,1.0653765063698697,2.0311718344315035,2.9783887665416344,37.169882648398726,20.33876508672981,27.797348011434593,46.84922498677309,67.97340722131604,365,1892.5,37.169882648398726,20.33876508672981,27.797348011434593,46.84922498677309,67.97340722131604
2008,79.9635193715847,1880.5,1.505173355421743,0.7367486338797814,1.1087571211648524,2.0311005241293807,3.0769074930433002,37.70325714521932,21.170065913852888,29.44374485234861,49.606381017172055,74.2021137757931,366,1880.5,37.70325714521932,21.170065913852888,29.44374485234861,49.606381017172055,74.2021137757931
2009,63.34602816438356,1803.4,1.1901461335379568,0.5691917808219178,0.8497438951756998,1.708044312438757,2.606520855932668,24.445154928459324,13.741221392757692,18.76601121046781,33.67578746054749,51.14565322339945,365,1803.4,24.445154928459324,13.741221392757692,18.76601121046781,33.67578746054749,51.14565322339945
2010,71.32449339726027,1925.1,1.301048686973778,0.6574246575342466,0.9521232876712328,1.7073464167063328,2.7061699276121396,29.822754561460812,17.402623698876926,23.356550282495196,37.28147597604223,58.577148286514635,365,1925.1,29.822754561460812,17.402623698876926,23.356550282495196,37.28147597604223,58.577148286514635
2011,68.87581673972603,1768.8,1.2598568799836434,0.6363013698630137,0.9323287671232877,1.7003392677370042,2.9414737439715455,26.648195048507894,15.286055087137502,20.999366927264425,34.084163844439196,62.17866671815352,365,1768.8,26.648195048507894,15.286055087137502,20.999366927264425,34.084163844439196,62.17866671815352
2012,83.57522945355191,1756.7,1.335460765381666,0.7080737704918033,1.0276639344262295,1.6875738916545773,2.329666912154884,41.62663804301874,27.604752009447118,36.229174761201925,48.07389853019338,61.00216141135045,366,1756.7,41.62663804301874,27.604752009447118,36.229174761201925,48.07389853019338,61.00216141135045
2013,82.39953468493151,1890.8,1.600856450259562,0.7468111971411554,1.1680169990156883,2.0359679132379074,3.1644633778655793,49.07181767761289,25.5601473804745,37.62150900608084,60.023460859729894,92.2684848297069,365,1890.8,49.07181767761289,25.5601473804745,37.62150900608084,60.023460859729894,92.2684848297069
2014,79.097801369863,2030.0,1.4615935495058088,0.7538767123287672,1.1022602739726026,1.8930767654287013,2.88109820662019,33.665593286985036,19.29102159047885,26.528366744394233,42.60517663610026,63.68532901096339,365,2030.0,33.665593286985036,19.29102159047885,26.528366744394233,42.60517663610026,63.68532901096339
2015,64.37263638356164,1703.2,1.2194520547945207,0.5976849315068493,0.9121917808219178,1.5728010527999976,2.2532793199508605,22.193158221519234,12.696598210621156,17.92030612231731,27.95648887154847,40.45008224224885,365,1703.2,22.193158221519234,12.696598210621156,17.92030612231731,27.95648887154847,40.45008224224885
2016,69.14512360655738,1886.8,1.2984131103182999,0.6422267759562842,0.9428991446899501,1.8446665740037402,2.5444672663259102,28.848531226266772,16.569712145942308,22.227657892745192,40.902829631278955,55.14965611773211,366,1886.8,28.848531226266772,16.569712145942308,22.227657892745192,40.902829631278955,55.14965611773211
2017,77.49099284931506,2128.1,1.4163824787761472,0.6859041095890411,1.041849315068493,1.8834027478519697,2.753031639719903,35.18614726754256,19.31910664827981,26.787241942052887,46.206108956409174,65.96867720049634,365,2128.1,35.18614726754256,19.31910664827981,26.787241942052887,46.206108956409174,65.96867720049634
2018,69.06781263013698,1862.8,1.3301043941072181,0.6472876712328767,0.9391780821917809,1.7829421821271134,2.665537252398786,29.511754439231204,16.176132276152885,21.765773551673078,38.00722477303027,55.81998045804732,365,1862.8,29.511754439231204,16.176132276152885,21.765773551673078,38.00722477303027,55.81998045804732
2019,78.2237453150685,2261.8,1.5462223249033278,0.7213835616438357,1.0991780821917807,2.088206099354601,2.871619954529359,37.61557330284055,19.87067548953173,27.74310377633654,49.51537496451032,66.92238581707808,365,2261.8,37.61557330284055,19.87067548953173,27.74310377633654,49.51537496451032,66.92238581707808
2020,73.34433743169399,2135.8,1.4318383068529301,0.653483606557377,0.9937247564742219,1.9229811873267526,2.92519932369211,34.89813314136966,17.700801948865386,25.032357155709033,44.80048623657572,66.2863556606603,366,2135.8,34.89813314136966,17.700801948865386,25.032357155709033,44.80048623657572,66.2863556606603
