,Discharge,Rainfall,Sediment_Yield,Days_in_Month,Monthly_Sediment_Yield_tons_ha
2005-06-01,14.0984232705,216.78,0.012911591352071415,30,0.38734774056214244
2005-07-01,73.88458464935485,375.96000000000004,0.10919136763571657,31,3.384932396707214
2005-08-01,114.54039387774193,383.54,0.1960840365847811,31,6.078605134128214
2005-09-01,123.65109062166667,236.66,0.21936176922530892,30,6.580853076759268
2005-10-01,39.23431971387097,38.92,0.04045225173713009,31,1.2540198038510326
2005-11-01,9.254209826833334,17.78,0.006543019318614198,30,0.19629057955842594
2005-12-01,6.079806314741936,2.44,0.002823411766612205,31,0.08752576476497836
2006-01-01,4.450346795193549,0.5800000000000001,0.0016707582801759504,31,0.05179350668545446
2006-02-01,3.648362687035714,1.8800000000000001,0.0014506050017414633,28,0.04061694004876097
2006-03-01,3.469153873096774,5.72,0.0014451031769557865,31,0.04479819848562938
2006-04-01,3.4326717459,43.96,0.0019406280565758165,30,0.058218841697274495
2006-05-01,6.817659640645161,162.48000000000002,0.0049860134995806035,31,0.1545664184869987
2006-06-01,17.781700208766665,189.8,0.015165242793574141,30,0.4549572838072242
2006-07-01,85.77662565096773,430.54,0.13426694007493248,31,4.1622751423229065
2006-08-01,199.5240042964516,458.98,0.4219895858280799,31,13.081677160670477
2006-09-01,134.752134842,226.12,0.2546586831469016,30,7.639760494407048
2006-10-01,24.216027172903225,75.56,0.021647542203334477,31,0.6710738083033688
2006-11-01,9.732656494766667,19.32,0.0069770924473941355,30,0.20931277342182406
2006-12-01,5.9850373864193545,17.28,0.004120883362364175,31,0.1277473842332894
2007-01-01,4.416535582354839,5.46,0.002683655318492526,31,0.0831933148732683
2007-02-01,3.9358871500714288,2.32,0.002220670987900152,28,0.06217878766120426
2007-03-01,3.8930104633225806,13.44,0.0018282876517021337,31,0.056676917202766144
2007-04-01,4.546381026000001,56.26,0.0027713052377643615,30,0.08313915713293085
2007-05-01,7.226936082129033,53.44,0.004548930414056238,31,0.14101684283574337
2007-06-01,43.6569239777,283.18,0.061738695010194876,30,1.8521608503058462
2007-07-01,109.22806640548387,353.844,0.18436158784328688,31,5.715209223141893
2007-08-01,138.57117521290323,412.68,0.2606807062107078,31,8.081101892531942
2007-09-01,160.035009487,250.46,0.33187448610220033,30,9.95623458306601
2007-10-01,28.99458569448387,29.5,0.042165574535404045,31,1.3071328105975253
2007-11-01,14.457679196733332,19.62,0.01030017094154011,30,0.3090051282462033
2007-12-01,10.025603096935484,0.0,0.006946477148547008,31,0.21534079160495725
2008-01-01,6.234583191258064,22.419999999999998,0.003031863272645598,31,0.09398776145201354
2008-02-01,3.9403113918965516,7.0,0.001527971924131717,29,0.0443111857998198
2008-03-01,2.8235585461935484,0.3,0.001040616742954761,31,0.03225911903159759
2008-04-01,4.930717622466667,85.16,0.0029887037640427662,30,0.08966111292128298
2008-05-01,6.875398665354839,182.966,0.005134266475366946,31,0.15916226073637532
2008-06-01,38.5490418145,187.3,0.04085482168600921,30,1.2256446505802763
2008-07-01,148.83708052903225,345.52,0.28865986886411954,31,8.948455934787706
2008-08-01,213.93176754838709,321.2,0.4559126643215114,31,14.133292593966853
2008-09-01,101.66873671100001,170.6,0.18498515275483388,30,5.549554582645016
2008-10-01,14.202731346451614,71.96,0.010656210695486723,31,0.3303425315600884
2008-11-01,12.017496680033332,6.62,0.008961851012913401,30,0.268855530387402
2008-12-01,5.079022763387097,5.1,0.0026508734858085993,31,0.08217707806006658
2009-01-01,3.9005124522580648,0.0,0.0014624375611592762,31,0.04533556439593756
2009-02-01,3.08813698125,7.58,0.001340094615595622,28,0.03752264923667742
2009-03-01,2.5948711272258063,28.680000000000003,0.001584896998516703,31,0.049131806954017795
2009-04-01,2.057829824266667,22.78,0.0010562194684735954,30,0.031686584054207864
2009-05-01,2.343640263645161,54.519999999999996,0.0014026235554126052,31,0.04348133021779076
2009-06-01,4.064381833266666,123.82,0.0028074304195059513,30,0.08422291258517854
2009-07-01,102.45901610612904,434.96,0.19746689975672316,31,6.121473892458418
2009-08-01,196.31009516774193,479.66,0.41660248439669223,31,12.914677016297459
2009-09-01,83.23395413766666,117.82,0.1375198407607083,30,4.125595222821249
2009-10-01,12.168570903967742,102.1,0.009111171094184722,31,0.28244630391972636
2009-11-01,5.5349973320000005,12.1,0.002801983117892798,30,0.08405949353678394
2009-12-01,3.28466561816129,4.26,0.0017155732051856232,31,0.05318276936075432
2010-01-01,2.8554447556774196,11.68,0.0015599742254667026,31,0.048359200989467784
2010-02-01,2.8487207976785713,0.0,0.0010963722854735233,28,0.03069842399325865
2010-03-01,1.9293015353548386,18.38,0.0009331056776948878,31,0.028926276008541522
2010-04-01,2.0661969093666666,44.42,0.0012256701457232712,30,0.036770104371698135
2010-05-01,5.474018428741936,64.24,0.003513396468513412,31,0.10891529052391577
2010-06-01,19.200669516666668,176.78,0.017398839063031024,30,0.5219651718909307
2010-07-01,151.2240006048387,531.82,0.3063564978079903,31,9.4970514320477
2010-08-01,170.4228048467742,514.38,0.3494163970879374,31,10.83190830972606
2010-09-01,127.04495923666667,242.12,0.2368292363956077,30,7.104877091868231
2010-10-01,27.994294331580644,34.06,0.0266676948867177,31,0.8266985414882487
2010-11-01,7.475353522833333,17.36,0.004894757879099501,30,0.14684273637298503
2010-12-01,5.3471782745161285,5.18,0.0034452794788059795,31,0.10680366384298537
2011-01-01,3.9844155412580644,7.84,0.002473633408416369,31,0.07668263566090744
2011-02-01,3.161543355642857,0.0,0.001136522673156204,28,0.031822634848373714
2011-03-01,2.860215015516129,28.4,0.0015770309567007211,31,0.04888795965772236
2011-04-01,2.6456553151666666,17.7,0.0013512158528223358,30,0.04053647558467007
2011-05-01,4.1426974894516135,136.34,0.0028745870259014356,31,0.0891121978029445
2011-06-01,9.714143551766666,181.96,0.008439242204439116,30,0.2531772661331735
2011-07-01,94.93137283348386,374.3,0.1659275166677453,31,5.143753016700105
2011-08-01,171.55967398709677,366.58,0.35806200386473647,31,11.09992211980683
2011-09-01,135.561826851,226.98,0.2569030384706755,30,7.707091154120266
2011-10-01,38.19773540451613,42.46,0.04962467106105866,31,1.5383648028928185
2011-11-01,15.625110403,47.02,0.01157142442789911,30,0.34714273283697333
2011-12-01,6.9186252738387095,0.0,0.004443881122365175,31,0.1377603147933204
2012-01-01,4.739686020612903,0.0,0.0020776981869296655,31,0.06440864379481963
2012-02-01,3.3325602266551724,0.0,0.001217209086929592,29,0.035299063520958164
2012-03-01,2.8461465716774197,13.54,0.001314254173704559,31,0.04074187938484133
2012-04-01,2.6419352675666667,2.2800000000000002,0.001095943856565693,30,0.03287831569697079
2012-05-01,3.483256110903226,47.46,0.001662000404567579,31,0.05152201254159495
2012-06-01,28.781556635733335,209.62,0.041029168859757666,30,1.2308750657927299
2012-07-01,142.3905601403226,394.404,0.2689821177486661,31,8.33844565020865
2012-08-01,164.56651138225806,370.7,0.3324509967190853,31,10.305980898291644
2012-09-01,121.60072472466666,239.74,0.20567424111419158,30,6.170227233425748
2012-10-01,28.48868540064516,32.379999999999995,0.02486021329653664,31,0.7706666121926359
2012-11-01,15.562532528666667,17.56,0.011401691135537906,30,0.3420507340661372
2012-12-01,6.3559783475806455,5.86,0.003059937947311601,31,0.09485807636665963
2013-01-01,4.992266238935484,1.46,0.0019311453046850818,31,0.059865504445237534
2013-02-01,4.155080185785715,1.1600000000000001,0.0015982359264296619,28,0.04475060594003053
2013-03-01,2.6191745864193545,10.02,0.0011582001229801526,31,0.03590420381238473
2013-04-01,3.364366969333333,21.62,0.0016205246904032369,30,0.04861574071209711
2013-05-01,4.779513366096775,75.0,0.0028669914609029297,31,0.08887673528799082
2013-06-01,11.005490464566666,202.38,0.008421514254524764,30,0.25264542763574294
2013-07-01,147.13680760096773,454.12,0.28992122660068903,31,8.987558024621359
2013-08-01,165.34655494935484,372.46,0.3443114630557751,31,10.673655354729028
2013-09-01,102.67581197766667,165.02,0.19084865224796418,30,5.725459567438926
2013-10-01,86.30435336064517,167.84,0.11868387436337317,31,3.6792001052645684
2013-11-01,19.703220295,33.12,0.014869296693842411,30,0.44607890081527235
2013-12-01,17.942410946774192,1.18,0.013387654737837812,31,0.4150172968729722
2014-01-01,11.197289356580646,1.4000000000000001,0.007930264350111176,31,0.24583819485344643
2014-02-01,7.384421502,2.02,0.0037577840074584055,28,0.10521795220883536
2014-03-01,10.763382037548388,55.14,0.007169910852803584,31,0.2222672364369111
2014-04-01,8.119211951933332,59.3,0.0054516752324421,30,0.163550256973263
2014-05-01,25.97362327748387,149.4,0.021567361440298218,31,0.6685882046492447
2014-06-01,46.18310282966667,186.68,0.058510342964302554,30,1.7553102889290766
2014-07-01,153.27313030064516,307.36,0.30300913086100023,31,9.393283056691008
2014-08-01,232.05482817741935,368.8,0.48897005121030407,31,15.158071587519427
2014-09-01,162.14124799966666,221.0,0.32050160703931246,30,9.615048211179374
2014-10-01,98.13801555806452,90.53999999999999,0.17192116205583502,31,5.329556023730886
2014-11-01,19.226955955,32.78,0.014447799133299168,30,0.43343397399897504
2014-12-01,18.28465879387097,0.06,0.013643888424236146,31,0.42296054115132053
2015-01-01,11.657126753548386,0.26,0.00817151426143794,31,0.25331694210457617
2015-02-01,8.960418467178572,2.14,0.0058483423504461325,28,0.16375358581249172
2015-03-01,6.847712839064516,13.06,0.003436781617804215,31,0.10654023015193068
2015-04-01,3.6889174591333336,12.94,0.001706518547371317,30,0.051195556421139515
2015-05-01,15.86669268067742,152.92,0.011872385778042331,31,0.36804395911931226
2015-06-01,24.54883689,142.34,0.020900020260217273,30,0.6270006078065182
2015-07-01,94.23579969129031,435.2,0.15675065869360139,31,4.859270419501643
2015-08-01,170.34964523870968,517.0,0.36323521801705005,31,11.260291758528552
2015-09-01,114.41555439066666,200.42000000000002,0.19020787985839405,30,5.706236395751821
2015-10-01,97.81736498258066,125.26,0.17351029301100915,31,5.378819083341283
2015-11-01,31.272431449,33.5,0.026340921900442127,30,0.7902276570132638
2015-12-01,18.222099761612903,14.219999999999999,0.013826434253713483,31,0.42861946186511796
2016-01-01,13.133045817741937,3.8600000000000003,0.009444292484012958,31,0.2927730670044017
2016-02-01,3.9403113918965516,0.7,0.0014587947011263961,29,0.042305046332665484
2016-03-01,13.946291395935484,20.22,0.010050093712843452,31,0.31155290509814704
2016-04-01,11.065549786033333,6.46,0.007466533706269704,30,0.22399601118809112
2016-05-01,15.740780477645162,167.72,0.012048712124939924,31,0.37351007587313767
2016-06-01,57.39993223933333,161.44,0.06954925818424289,30,2.0864777455272865
2016-07-01,154.00099634258066,385.32,0.30218041204711055,31,9.367592773460427
2016-08-01,170.34964523870968,382.18,0.36170828746943345,31,11.212956911552437
2016-09-01,113.40174686366666,166.44,0.18900908740054798,30,5.670272622016439
2016-10-01,45.29335287322581,39.6,0.04230632715289646,31,1.3114961417397901
2016-11-01,81.80592589999999,0.9600000000000001,0.08902464059324143,30,2.670739217797243
2016-12-01,21.480208837322582,3.8600000000000003,0.016547907697921135,31,0.5129851386355552
2017-01-01,8.616904729354838,0.0,0.00557079201931988,31,0.17269455259891628
2017-02-01,3.9358871500714288,23.64,0.0020723420325588194,28,0.05802557691164694
2017-03-01,5.61409010183871,8.92,0.003276621207836979,31,0.10157525744294635
2017-04-01,13.098137131566666,45.800000000000004,0.009346637684288506,30,0.28039913052865517
2017-05-01,19.96997024503226,139.12,0.015236047179986998,31,0.47231746257959695
2017-06-01,20.06903610466667,134.38,0.015907412786979512,30,0.47722238360938535
2017-07-01,175.22097843580644,416.28000000000003,0.36216203779340533,31,11.227023171595565
2017-08-01,170.34964523870968,382.0,0.36273792126675397,31,11.244875559269373
2017-09-01,113.40174686366666,166.48,0.18923608744407738,30,5.677082623322321
2017-10-01,45.29335287322581,73.10000000000001,0.04194078495364421,31,1.3001643335629705
2017-11-01,20.563644623000002,16.66,0.01547594629650594,30,0.4642783888951782
2017-12-01,10.71263427032258,0.0,0.007621776864254917,31,0.23627508279190243
2018-01-01,7.6652733896451615,0.0,0.004301342299660362,31,0.13334161128947122
2018-02-01,5.942719939107143,7.779999999999999,0.002574261367437516,28,0.07207931828825045
2018-03-01,7.982433241322581,1.54,0.004429946370503381,31,0.13732833748560483
2018-04-01,18.42976828,5.86,0.013236813739393515,30,0.3971044121818055
2018-05-01,13.375375710322581,66.56,0.009701227258150933,31,0.3007380450026789
2018-06-01,68.27891046266667,290.48,0.10340525612722572,30,3.1021576838167717
2018-07-01,206.05851914516128,415.92,0.43944141867501313,31,13.622683978925407
2018-08-01,209.89914208387097,373.62,0.4424442712992294,31,13.715772410276111
2018-09-01,108.867508439,111.2,0.17807512013239715,30,5.342253603971915
2018-10-01,45.15023400677419,62.559999999999995,0.04043905139624233,31,1.2536105932835122
2018-11-01,24.005152055333333,40.14,0.018279352825318795,30,0.5483805847595639
2018-12-01,11.582562564741936,7.680000000000001,0.008342856066996555,31,0.25862853807689323
2019-01-01,7.8970123841612905,0.0,0.005225222276397945,31,0.1619818905683363
2019-02-01,6.577613124107144,15.18,0.0028003626480077965,28,0.0784101541442183
2019-03-01,4.701753048322581,19.28,0.002538325950930754,31,0.07868810447885337
2019-04-01,3.9849524337666664,22.36,0.00221040286672101,30,0.0663120860016303
2019-05-01,5.494581756096775,73.7,0.003914247355643922,31,0.12134166802496159
2019-06-01,60.478984051666664,203.3,0.07946402795778319,30,2.383920838733496
2019-07-01,155.0701380948387,372.44,0.3033949750347609,31,9.405244226077588
2019-08-01,231.79578306451614,375.96,0.4924169264550307,31,15.264924720105952
2019-09-01,204.86363974666668,223.18,0.432917043709429,30,12.987511311282871
2019-10-01,95.54668343870968,43.26,0.16116919496273122,31,4.9962450438446675
2019-11-01,31.652236390666665,53.32,0.024204282780926945,30,0.7261284834278083
2019-12-01,27.36811279,11.639999999999999,0.02087510497845291,31,0.6471282543320402
2020-01-01,13.90948082383871,2.42,0.010067730657452959,31,0.3120996503810417
2020-02-01,6.933422715689655,0.78,0.0030466855210982795,29,0.08835388011185011
2020-03-01,5.316430463935484,0.1,0.0019111690344959468,31,0.05924624006937435
2020-04-01,4.3872062245,32.7,0.0022270195877731077,30,0.06681058763319324
2020-05-01,11.920076518064516,86.96,0.008899495769950827,31,0.27588436886847567
2020-06-01,94.62106187773334,286.08,0.18392004776732881,30,5.517601433019864
2020-07-01,278.2358690290323,444.02,0.5940223862607933,31,18.414693974084592
2020-08-01,223.79202563225806,463.54,0.4749330479871864,31,14.722924487602778
2020-09-01,184.30809853533336,108.48,0.377732780159666,30,11.33198340478998
2020-10-01,91.37641849064515,45.160000000000004,0.11742438504890555,31,3.6401559365160723
2020-11-01,79.34164105033332,3.3600000000000003,0.08952780236986331,30,2.6858340710958992
2020-12-01,12.294544534387096,1.6600000000000001,0.009304573065971192,31,0.28844176504510693
